Calendar Day,Normative Stock Required,Receipt,Consumption,Monitored Capacity(coal),Electricity Generated_Coal,Electricity Generated_Nuclear,Electricity Generated_Hydro
2025-06-03,71454.1,2420.3,2189.9,212706.01,3256.3499999999985,167.74999999999997,438.47000000000014
2025-06-02,71454.1,2355.9,2208.9,212706.01,3267.9099999999976,162.78000000000003,447.2200000000001
2025-06-01,71454.1,2223.8,2087.2,212706.01,3052.1600000000008,162.56,466.5899999999997
2025-05-31,71454.1,2476.7,2087.7,212706.01,3059.7500000000023,162.39999999999998,491.6699999999999
2025-05-30,71454.1,2518.3,2111.2,212706.01,3135.23,165.64,459.0700000000002
2025-05-29,71454.1,2541.8,2228.8,212706.01,3301.38,167.15,488.2800000000004
2025-05-28,71454.1,2345.9,2241.1,212706.01,3299.73,166.97,511.99999999999966
2025-05-27,71454.1,2392.0,2199.9,212706.01,3218.3500000000004,167.29,514.1999999999997
2025-05-26,71454.1,2557.7,2160.1,213536.01,3179.070000000002,166.63,489.4599999999997
2025-05-25,71454.1,2682.6,2052.2,213536.01,2979.2400000000007,160.64999999999998,491.78
2025-05-24,71454.1,2653.3,2313.5,212706.01,3351.05,159.06,505.1800000000002
2025-05-23,71454.1,2461.9,2338.2,212706.01,3456.609999999994,157.49999999999997,512.8199999999998
2025-05-22,71454.1,2447.0,2218.0,212706.01,3231.7300000000005,158.22,476.6499999999999
2025-05-21,71454.1,2434.7,2405.8,212706.01,3530.220000000001,164.9,468.09
2025-05-20,71454.1,2652.8,2551.1,212706.01,3752.6599999999976,166.51999999999998,461.8700000000006
2025-05-19,71454.1,2368.7,2550.2,212706.01,3753.999999999999,165.67000000000002,475.7400000000003
2025-05-18,71454.1,2560.7,2455.3,212706.01,3588.7499999999995,167.24000000000004,421.4699999999999
2025-05-17,71454.1,2483.2,2505.7,212706.01,3674.4000000000015,167.06,422.9300000000002
2025-05-16,71454.1,2475.1,2508.3,212706.01,3764.089999999999,167.1,438.1499999999997
2025-05-15,71454.1,2484.4,2627.8,212706.01,3908.7300000000014,166.73,418.5
2025-05-14,71454.1,2525.9,2602.9,212706.01,3852.000000000001,160.12,377.1400000000001
2025-05-13,71454.1,2647.7,2513.6,212706.01,3744.27,159.19000000000003,371.52
