Country,Year,Month,Calendar Day,Types Of Fuel,Type Of Category,"Monitored Capacity  (UOM:MW(MegaWatt)), Scaling Factor:1","Targeted Generation Of Electricity For The Current Day (UOM:MU(MillionUnits)), Scaling Factor:1","Actual Generation Of Electricity For The Current Day (UOM:MU(MillionUnits)), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-10,Nuclear,Nuclear,8780,125.80999999999999,130.43
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-10,Hydro,Hydro,50108.16000000005,647.0999999999996,751.3299999999991
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-09,Coal,Thermal,216786.01,3738.799999999998,3340.7
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-09,Nuclear,Nuclear,8780,125.81,124.92
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-09,Hydro,Hydro,49868.16000000005,647.0999999999995,774.3699999999998
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-08,Coal,Thermal,216786.01,3736.399999999998,3083.169999999999
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-08,Nuclear,Nuclear,8780,125.81,123.04999999999998
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-08,Hydro,Hydro,49868.16000000005,647.0999999999995,780.0399999999995
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-07,Coal,Thermal,216786.01,3728.859999999998,2783.729999999997
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-07,Nuclear,Nuclear,8780,125.81,121.52000000000001
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-07,Hydro,Hydro,49868.16000000005,647.0999999999995,771.6499999999994
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-06,Coal,Thermal,216786.01,3724.3799999999983,2924.3199999999997
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-06,Nuclear,Nuclear,8780,125.81,122.38000000000001
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-06,Hydro,Hydro,49868.16000000005,647.0999999999995,791.2500000000001
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-05,Coal,Thermal,216786.01,3707.4199999999983,2888.4500000000003
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-05,Nuclear,Nuclear,8780,125.81,127.28
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-05,Hydro,Hydro,49868.16000000005,647.0999999999995,761.7099999999992
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-04,Coal,Thermal,216786.01,3722.7999999999984,2818.209999999999
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-04,Nuclear,Nuclear,8780,125.81,132.06000000000003
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-04,Hydro,Hydro,49868.16000000005,647.0999999999995,731.63
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-03,Coal,Thermal,216786.01,3719.2399999999984,2778.290000000002
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-03,Nuclear,Nuclear,8780,125.81,136.43
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-03,Hydro,Hydro,49868.16000000005,647.0999999999995,721.1100000000002
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-02,Coal,Thermal,216786.01,3718.5999999999985,2731.89
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-02,Nuclear,Nuclear,8780,125.81,140.98999999999998
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-02,Hydro,Hydro,49868.16000000005,647.0999999999995,735.8599999999999
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-01,Coal,Thermal,216786.01,3719.1999999999985,2786.959999999998
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-01,Nuclear,Nuclear,8780,125.81,141.18
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-01,Hydro,Hydro,49868.16000000005,647.0999999999995,742.4599999999992
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-31,Coal,Thermal,216786.01,3706.0900000000015,2892.760000000002
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-31,Nuclear,Nuclear,8780,126.58999999999999,146.57
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-31,Hydro,Hydro,49868.16000000005,714.1800000000003,759.9499999999999
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-30,Coal,Thermal,216786.01,3667.0800000000013,3195.220000000003
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-30,Nuclear,Nuclear,8780,126.58999999999999,144.70999999999998
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-30,Hydro,Hydro,49868.16000000005,707.6600000000003,756.1600000000003
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-29,Coal,Thermal,216786.01,3637.4600000000014,3145.129999999998
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-29,Nuclear,Nuclear,8780,126.58999999999999,145.49
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-29,Hydro,Hydro,49868.16000000005,707.6600000000003,769.8300000000002
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-23,Coal,Thermal,216436.01,3611.1200000000013,3106.9100000000008
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-23,Nuclear,Nuclear,8780,136.84,136.82999999999998
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-23,Hydro,Hydro,49868.16000000005,707.6600000000002,779.2499999999985
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-22,Coal,Thermal,216436.01,3611.1200000000013,3254.369999999999
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-22,Nuclear,Nuclear,8780,136.84,137.7
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-22,Hydro,Hydro,49868.16000000005,707.6600000000002,800.4900000000005
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-21,Coal,Thermal,216436.01,3614.1100000000015,3279.349999999998
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-21,Nuclear,Nuclear,8780,136.84,137.66999999999996
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-21,Hydro,Hydro,49868.16000000005,707.6600000000002,814.8799999999999
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-20,Coal,Thermal,216436.01,3605.7900000000013,3137.110000000001
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-20,Nuclear,Nuclear,8780,136.84,137.53
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-20,Hydro,Hydro,49868.16000000005,707.6600000000002,803.5399999999994
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-19,Coal,Thermal,216436.01,3615.230000000001,3146.369999999999
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-19,Nuclear,Nuclear,8780,136.84,137.20000000000002
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-19,Hydro,Hydro,49628.16000000005,707.6600000000002,794.6700000000004
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-18,Coal,Thermal,216436.01,3615.230000000001,3096.5000000000036
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-18,Nuclear,Nuclear,8780,136.84,137.07
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-18,Hydro,Hydro,49628.16000000005,707.6600000000002,775.3099999999998
